context,first_c,second_c
路人报：轿车撞倒树上。现人卡在轿车内，不清醒。已通知卫生局，若民警到场确认不需急救车，请致电120或110。已通知消防,救援,(交通事故)
看到1轿车开到河里去了，人伤不详（已通知120，如民警到场无需急救车，请致电120或110。）（已经通知消防）,救援,(交通事故)
轿车单车事故。人可能没有出来 报警人怀疑司机酒驾 称撞的很严重 请民警到场处理。(已通知卫生局，如民警到场确认不用120，请自行通知120或110),救援,(交通事故)
面包车单车事故（撞绿化带）。2人伤（清醒）。人被卡。（已通知１２０，如民警到场无需救护，请致电１２０或１１０） 已通知消防。 ,救援,(交通事故)
搅拌车和货车相撞。1人被卡在车内，(已通知120，若民警到场无需120，请电告110或120.),救援,(交通事故)
路人报：上址货车与电瓶车相撞，人在货车车底下  情况不明  已通知120，如民警到场确认无需急救车，请致电120。      请民警到场处理。  ,救援,(交通事故)
面包车与轿车相撞。1名驾驶员被卡，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）（内线：22667）,救援,(交通事故)
看到一辆SUV钻入护栏翻车，人员不明，护栏撞翻，影响2车道。通知消防，(已通知120到场，如不需要救护车，请民警电告120或110),救援,(交通事故)
2卡车相撞。车门打不开，报警人被困在车内，人无事。请民警到场处理。,救援,(交通事故)
路人报，上址面包车单车事故，撞到护栏，车损严重，人员情况不清，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）已通知消防到场。,救援,(交通事故)
大巴车与出租车相撞，现大巴车车门无法打开，导致人员无法出来，无人伤。,救援,(交通事故)
"路过司机报：面把车正翻，人未出来，请民警到场处理。已通知消防（已通知120,如民警到场确认无需急救车，请致电120或110）",救援,(交通事故)
路人报警，看到一辆商务车追尾养护车，商务车车头陷进去了，人估计不行了，请民警到场处理。（已经通知120，如不需要救护车，请致电120或110）,救援,(交通事故)
轿车和货车相撞，货车翻车，一人被困，伤情一般，请民警到场处理。【已通知卫生局，如民警到场确认不用120，请自行通知120或110】,救援,(交通事故)
土方车和面包车相碰。1人伤需要救护车，且被卡住，已经通知120和119，如果到场不需要请来电告知,救援,(交通事故)
出租车单车事故，撞到石柱，称人被卡住，伤的很严重，请民警到场处理。 已通知120到场，如不需要救护车，请民警电告120或110        ,救援,(交通事故)
报警人称 轿车滑进农田内 陷进去了出不来 车门也打不开 请民警到场处理。,救援,(交通事故)
货车与轿车碰撞，报警人（货车司机）被卡受伤，请民警到场处理。已通知１２０，如民警到场无需救护，请致电１２０或１１０。,救援,(交通事故)
路人报，轿车单车事故，车头车损严重，人在驾驶室，被卡情况不明，请民警到场处理。（已经通知120，如不需要救护车，请致电120或110）已通知消防,救援,(交通事故)
旁人：轿车与出租车 相撞。出租车副驾驶上的人员晕迷，（已经通知120，如不需要救护车，请致电120或110）已通知消防 ,救援,(交通事故)
2货车相碰，两车事故，无人伤，未撤离  现报警人无法下车。 ,救援,(交通事故)
面包车、电瓶车撞。2司机伤重可能不行了，1人被卡车内，（已经通知120，如不需要救护车，请致电120或110），已通知消防,救援,(交通事故)
2轿车碰擦，两车事故，无人伤，未撤离，影响右侧第二根车道，车头冒白烟，无明火，车子底下漏的不清楚是水还是油，请民警到场处理。已通知消防 ,救援,(交通事故)
"货车，面包车碰，2人伤，被卡在车内，（已通知120,如民警到场确认无需急救车，请致电120或110）请民警到场处理。",救援,(交通事故)
卡车侧翻，内情况不明，影响交通，请民警到场处理。(已通知120，如民警到场无需救护车，请至电110或120）,救援,(交通事故)
过路司机：看到上址一辆半挂疑似失控开出高速护栏，侧翻在路边，司机人没出来，人员情况不明，报警人已经离开，(已通知120，如民警到场确认无需救护车，请自行致电120或110)请民警到场处理。已告知消防 ,救援,(交通事故)
"路人报警，1轿车撞到栏杆，1人被卡车内，已通知120,如民警到场确认无需急救车，请致电120或110。",救援,(交通事故)
路人报警，两轿车相撞，两车事故，1人轻伤，有个人卡在车内，脚被卡住了，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）,救援,(交通事故)
电瓶车 轿车相撞，1人伤被压在车下需救护，请民警到场处理。(已通知120到场，如不需要救护车，请民警电告120或110) ,救援,(交通事故)
1面包车翻车，司机在车内，具体不明，(已通知卫生局，如民警到场确认不用120，请自行通知120或110)请民警到场处理。,救援,(交通事故)
两卡车撞，现一车内有一人被卡，1人轻微伤。已经通知１２０，如民警到场确认不需要１２０．请致电１２０或者１１０．,救援,(交通事故)
二货车相撞、一集卡车相撞。货车车头变形，人看不见了，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）请民警到场处理。,救援,(交通事故)
